Date,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/Südtirol,Umbria,Valle d'Aosta/Vallée d'Aoste,Veneto,Italia
2015,1177,434,1475,4028,4470,934,4323,1881,8578,1392,267,4391,3051,1146,3826,3604,855,955,120,3920,50827
2016,1083,415,1341,3799,4059,906,4156,1725,8074,1322,230,4382,2822,1123,3576,3299,754,834,114,3782,47796
2017,1136,472,1399,3722,4099,889,3938,1687,8082,1270,245,4134,2916,989,3741,3377,718,875,106,3828,47623
2018,1152,385,1351,3944,4325,1007,4277,1860,8519,1286,257,4483,3003,1177,3709,3575,803,862,120,3898,49993
2019,1172,449,1451,3939,4309,942,4264,1801,8492,1325,262,4382,3055,1139,3789,3508,798,896,122,3873,49975
2020,1276,417,1436,3864,7330,1034,3920,2708,24330,2032,273,6443,3321,1295,3686,3992,1318,959,196,4814,74644
